교과목명,학점,선택영역
채플2,0.5,사상과역사
채플4,0.5,사상과역사
동양의철학사상,3,사상과역사
진로설정과자기계발,2,사상과역사
세종사회봉사2,1,사상과역사
세종리더십,2,사상과역사
천문학의세계,3,사상과역사
동양고전강독2,1,사상과역사
서양고전강독2,1,사상과역사
서양고전강독4,1,사상과역사
동양종교의이해,3,사상과역사
동양의철학사상-공맹과성리학,3,사상과역사
동서양고전문학강독,1,사상과역사
동서양종교의이해,3,사상과역사
SHP고전강좌:Building Intellectus 2,1,사상과역사
한국전쟁을통해보는한국의이해,3,사상과역사
한국현대사의이해,3,사상과역사
