교과목명,학점,선택영역
영상스토리텔링,3,융합과창업
"공간과인간:인문,예술,공학의융합",3,융합과창업
수요집현강좌,1,융합과창업
K-MOOC:웨어러블컴퓨터디자인,1,융합과창업
K-MOOC:콘텐츠산업의비즈니스전략,3,융합과창업
애지헌강좌2,1,융합과창업
SHP고전강좌:Writing Intellectus 2,3,융합과창업
진로오딧세이,1,융합과창업
융합적사고에기반한인문사회계글쓰기,3,융합과창업
기후변화와지속가능발전,3,융합과창업
디자인이노베이션,2,융합과창업
