교과목명,학점,선택영역
철학과인간이해,3,세계와지구촌
현대인의정신건강과자기발견,2,세계와지구촌
K-Pop Music 2,3,세계와지구촌
K-Pop Dance 2,3,세계와지구촌
한류문화의이해,3,세계와지구촌
