교과목명,학점,선택영역
과학사,3,자연과과학기술
현대과학으로의여행,3,자연과과학기술
동서양의윤리,3,자연과과학기술
천문학의세계,3,자연과과학기술
현대과학기술의이해,3,자연과과학기술
유니스토리,3,자연과과학기술
K-MOOC:정보보호와보안의기초,3,자연과과학기술
SHP고전강좌:Reading Intellectus 2,3,자연과과학기술
애지헌강좌2,1,자연과과학기술
K-MOOC:코딩과스토리텔링,1,자연과과학기술
우주자연인간,1,자연과과학기술
