,학수번호,subject,학점,교수명,담은인원,수강대상,선택영역
100,009489-005,세계사:인간과문명,3,박효근,50,,사상과역사
101,009489-006,세계사:인간과문명,3,박효근,42,,사상과역사
102,009489-007,세계사:인간과문명,3,공수진,41,,사상과역사
103,009489-008,세계사:인간과문명,3,공수진,44,,사상과역사
104,009489-009,세계사:인간과문명,3,문종현,47,,사상과역사
105,009489-010,세계사:인간과문명,3,문종현,47,,사상과역사
106,009489-011,세계사:인간과문명,3,박효근,44,,사상과역사
107,009489-012,세계사:인간과문명,3,박효근,49,,사상과역사
108,009489-013,세계사:인간과문명,3,공수진,45,,사상과역사
109,009489-014,세계사:인간과문명,3,공수진,39,,사상과역사
110,009489-015,세계사:인간과문명,3,문종현,42,,사상과역사
111,009489-016,세계사:인간과문명,3,문종현,42,,사상과역사
112,009489-017,세계사:인간과문명,3,박효근,43,,사상과역사
113,009489-018,세계사:인간과문명,3,박효근,40,,사상과역사
114,009489-019,세계사:인간과문명,3,박효근,44,,사상과역사
115,009489-020,세계사:인간과문명,3,공수진,45,,사상과역사
116,009489-021,세계사:인간과문명,3,문종현,41,,사상과역사
117,009489-022,세계사:인간과문명,3,문종현,43,,사상과역사
118,009936-003,Technical Writing기초,2,진실로,38,,자연과과학기술
119,009034-001,디자인이노베이션,2,김영은,40,,융합과창업
120,009455-001,경제학의이해,3,Gordon Maccoy,0,영어,사회와문화
