교과목명,학점,선택영역
미래사회와사회변동,3,사회와문화
정보사회와정보이용,3,사회와문화
세계경제의이해,3,사회와문화
지구환경과학입문,3,사회와문화
취업과진로,2,사회와문화
인도의정치경제와사회,3,사회와문화
21세기외교전쟁,3,사회와문화
세종사회봉사1,1,사회와문화
인류학과현대사회,3,사회와문화
취업전략및사회진출,2,사회와문화
Relations between North and South Korea,3,사회와문화
융합적사고,3,사회와문화
인문지리학의이해,3,사회와문화
영화산업의이해,3,사회와문화
미디어속한국문화,3,사회와문화
경제학의이해,3,사회와문화
